Artist,Public Image,Public Image Score
The Beatles,Positive,43.9226850271225
Elvis Presley,Positive,62.77248072624207
Michael Jackson,Positive,59.9802713394165
Elton John,Mixed,0.0
Queen,Mixed,0.0
Madonna,Positive,33.95378565788269
Led Zeppelin,Positive,57.33620512485504
Rihanna,Positive,54.8775292634964
Pink Floyd,Positive,22.104477524757385
Eminem,Positive,47.74443852901459
Mariah Carey,Positive,111.69313019514084
Taylor Swift,Positive,14.136084139347076
Beyonce,Positive,58.63214045763016
Whitney Houston,Positive,61.344489336013794
Eagles,Mixed,3.747831165790558
Celine Dion,Positive,19.15018737316132
AC/DC,Mixed,9.332573294639587
The Rolling Stones,Positive,18.3685262799263
Drake,Mixed,0.0
Garth Brooks,Positive,19.73050272464752
Kanye West,Positive,10.214091300964355
Billy Joel,Positive,23.308093309402462
Justin Bieber,Positive,52.65301865339279
Ed Sheeran,Positive,39.72297370433808
Bruno Mars,Mixed,0.0
Bruce Springsteen,Positive,16.738747894763947
U2,Positive,20.92567813396454
Aerosmith,Positive,16.860821187496185
Phil Collins,Positive,20.108395159244537
Barbra Streisand,Positive,36.13105952739716
ABBA,Positive,19.89628714323044
Frank Sinatra,Positive,80.54345893859863
Katy Perry,Positive,51.00132101774216
Chris Brown,Positive,21.04334306716919
Jay Z,Positive,35.86451035737991
Metallica,Positive,16.72015941143036
Lady Gaga,Positive,39.10844016075134
Lil Wayne,Positive,18.860396206378937
Maroon 5,Positive,29.970339715480804
Adele,Positive,35.28015285730362
Red Hot Chili Peppers,Mixed,7.906257748603821
Fleetwood Mac,Positive,15.645439743995668
Bon Jovi,Positive,23.281805098056797
Rod Stewart,Positive,41.72440350055695
Bee Gees,Positive,12.873937785625458
Nicki Minaj,Positive,42.04392927885056
Coldplay,Positive,40.35612618923187
Linkin Park,Positive,17.585147202014923
George Strait,Positive,46.95156973600388
P!nk,Mixed,2.550105392932892
Britney Spears,Positive,47.554439425468445
Bz,Mixed,5.323629319667816
Shania Twain,Positive,36.32985258102417
Guns N' Roses,Positive,30.157922625541687
Backstreet Boys,Positive,17.76498281955719
Eric Clapton,Positive,17.686412632465363
Neil Diamond,Positive,17.806251227855682
Prince,Mixed,0.0
Journey,Mixed,0.0
Paul McCartney,Mixed,0.0
Janet Jackson,Positive,23.744403898715973
Kenny Rogers,Mixed,0.0
Santana,Mixed,0.0
Simon & Garfunkel,Positive,14.681968450546265
George Michael,Positive,32.251573860645294
Julio Iglesias Jr.,Positive,13.859521567821504
Dire Straits,Mixed,8.083084404468536
The Doors,Mixed,9.59311157464981
Foreigner,Mixed,0.0
Chicago,Mixed,0.0
Bob Dylan,Positive,22.92938709259033
Carpenters,Positive,15.02468341588974
Meat Loaf,Mixed,0.0
"Earth, Wind & Fire",Mixed,0.0
Cher,Positive,32.65821719169617
Def Leppard,Positive,23.67350775003433
Genesis,Mixed,0.0
David Bowie,Positive,16.803743481636047
Stevie Wonder,Positive,14.987011909484863
James Taylor,Positive,16.05950301885605
Tina Turner,Positive,16.853686690330505
Olivia Newton-John,Mixed,0.0
Linda Ronstadt,Positive,17.732934176921844
The Beach Boys,Positive,14.485192120075226
Donna Summer,Positive,20.877014636993408
Alicia Keys,Positive,74.83483839035034
Christina Aguilera,Positive,47.22064608335495
Lionel Richie,Positive,20.7959817647934
Johnny Cash,Positive,18.08977603912353
Justin Timberlake,Positive,56.66601514816284
Ariana Grande,Positive,59.109658777713776
R.E.M.,Positive,17.229945421218872
Post Malone,Positive,15.068247199058533
Flo Rida,Mixed,5.4549782276153564
Usher,Mixed,0.0
Shakira,Positive,65.51752477884293
Tim McGraw,Positive,11.0350261926651
The Black Eyed Peas,Positive,17.579092264175415
Van Halen,Mixed,9.687971353530884
Hamasaki Ayumi,Positive,19.07111328840256
Tom Petty,Positive,16.193198144435883
Hallyday Johnny,Positive,32.97738355398178
The Weeknd,Positive,21.36679583787918
Imagine Dragons,Positive,20.54443377256393
Luke Bryan,Mixed,8.727005898952484
2Pac,Positive,50.59541571140289
Alabama,Positive,16.04984837770462
R. Kelly,Mixed,2.544758260250092
Nirvana,Mixed,0.3575994968414306
Robbie Williams,Positive,16.424626350402832
Bob Seger,Positive,12.023113429546356
Kenny G,Positive,10.9356170296669
Green Day,Positive,14.535818815231323
Enya,Positive,23.18069863319397
Bryan Adams,Positive,23.053174436092377
Bob Marley & The Wailers,Positive,20.988684237003326
The Police,Positive,14.621488749980928
Gloria Estefan,Positive,19.68731254339218
Barry Manilow,Positive,10.122571229934692
Kiss,Mixed,0.0
Aretha Franklin,Positive,51.43980312347412
